symbol,matched,live_entry,bt_entry,entry_gap_min,live_entry_px,bt_entry_px,entry_px_diff_bps,live_exit_px,bt_exit_px,exit_px_diff_bps,live_hold_h,bt_hold_h,live_pnl_pct,bt_pnl_pct
IREN,True,2026-08-18 13:50:03.227352+00:00,2026-08-18 13:40:00+00:00,-10.0537892,43.95,44.91357667051664,219.24383857033845,41.73,42.57037113832337,201.3829710815648,5.539049596388889,1.1666666666666667,-0.0505119453924916,-0.0521714302421936
IREN,False,2026-08-18 13:50:03.227352+00:00,,,,,,,,,,,,
IREN,False,2026-08-18 13:50:03.227352+00:00,,,,,,,,,,,,
IREN,False,2026-08-18 13:50:03.227352+00:00,,,,,,,,,,,,
IREN,False,2026-08-18 13:50:03.227352+00:00,,,,,,,,,,,,
IREN,False,2026-08-18 13:50:03.227352+00:00,,,,,,,,,,,,
IREN,False,2026-08-18 13:50:03.227352+00:00,,,,,,,,,,,,
JOBY,True,2026-08-11 13:52:00.078266+00:00,2026-08-11 14:35:00+00:00,42.99869556666667,8.76,8.722305627335986,-43.030105780837374,8.31,8.399532944578274,107.74120887878885,3.5170903441666668,8.083333333333334,-0.0513698630136985,-0.0370054314247063
JOBY,False,2026-08-11 13:52:00.442201+00:00,,,,,,,,,,,,
LCID,False,2026-03-25 13:45:45.752882+00:00,,,,,,,,,,,,
LCID,False,2026-03-25 13:45:45.752882+00:00,,,,,,,,,,,,
LCID,False,2026-04-21 18:51:34.995620+00:00,,,,,,,,,,,,
LCID,False,2026-04-21 18:51:34.995620+00:00,,,,,,,,,,,,
LCID,False,2026-04-21 18:51:34.995620+00:00,,,,,,,,,,,,
LCID,False,2026-04-21 18:51:35.805350+00:00,,,,,,,,,,,,
LCID,False,2026-04-21 18:51:36.101243+00:00,,,,,,,,,,,,
LCID,False,2026-04-21 18:51:36.101243+00:00,,,,,,,,,,,,
LCID,False,2026-04-21 18:51:36.694629+00:00,,,,,,,,,,,,
LCID,False,2026-04-21 18:51:36.694629+00:00,,,,,,,,,,,,
LCID,False,2026-04-21 18:51:36.694629+00:00,,,,,,,,,,,,
LCID,False,2026-04-21 18:51:36.694629+00:00,,,,,,,,,,,,
LCID,False,2026-05-06 11:38:51.846279+00:00,,,,,,,,,,,,
LCID,False,2026-05-06 11:39:03.643464+00:00,,,,,,,,,,,,
LCID,False,2026-05-06 11:39:03.643464+00:00,,,,,,,,,,,,
LCID,False,2026-05-06 11:39:03.962838+00:00,,,,,,,,,,,,
LCID,False,2026-05-06 11:39:04.146715+00:00,,,,,,,,,,,,
LCID,False,2026-05-06 11:39:04.146715+00:00,,,,,,,,,,,,
LCID,False,2026-05-06 11:39:04.146715+00:00,,,,,,,,,,,,
LCID,False,2026-05-06 11:39:04.427092+00:00,,,,,,,,,,,,
LCID,False,2026-05-06 11:39:04.752391+00:00,,,,,,,,,,,,
LCID,False,2026-05-06 11:39:04.752391+00:00,,,,,,,,,,,,
LCID,False,2026-05-06 11:39:04.752391+00:00,,,,,,,,,,,,
LCID,False,2026-05-06 11:39:04.752391+00:00,,,,,,,,,,,,
LCID,False,2026-05-06 11:39:04.752391+00:00,,,,,,,,,,,,
LCID,False,2026-05-06 11:39:04.752391+00:00,,,,,,,,,,,,
LCID,True,2026-06-09 14:18:30.692038+00:00,2026-06-09 13:45:00+00:00,-33.51153396666667,5.24,5.3009248995513145,116.26889227350057,4.95,5.021668349827412,144.78454510588324,23.2744919525,2.4166666666666665,-0.0553435114503816,-0.0526807217637697
LCID,False,2026-06-09 14:18:31.402854+00:00,,,,,,,,,,,,
LCID,False,2026-06-09 14:18:31.402854+00:00,,,,,,,,,,,,
LCID,False,2026-06-15 14:02:45.577515+00:00,,,,,,,,,,,,
LCID,False,2026-06-15 14:02:45.577515+00:00,,,,,,,,,,,,
LCID,False,2026-06-15 14:02:45.577515+00:00,,,,,,,,,,,,
LCID,False,2026-06-15 14:02:45.577515+00:00,,,,,,,,,,,,
LCID,False,2026-06-18 15:26:13.723920+00:00,,,,,,,,,,,,
LCID,False,2026-06-18 15:26:13.723920+00:00,,,,,,,,,,,,
LCID,False,2026-06-18 15:26:13.723920+00:00,,,,,,,,,,,,
LCID,False,2026-06-18 15:26:14.590641+00:00,,,,,,,,,,,,
LCID,False,2026-06-18 15:26:15.326974+00:00,,,,,,,,,,,,
LCID,True,2026-06-29 15:06:54.850632+00:00,2026-06-29 14:55:00+00:00,-11.914177200000001,6.28,6.347046954750217,106.76266679970867,6.48,6.455343031316517,-38.05087759796758,1055.7210070225,8.083333333333334,0.0318471337579618,0.0170624350723055
LCID,False,2026-06-29 15:06:55.437454+00:00,,,,,,,,,,,,
LCID,False,2026-06-29 15:06:55.847640+00:00,,,,,,,,,,,,
LCID,True,2026-08-14 13:45:35.775398+00:00,2026-08-14 13:45:00+00:00,-0.5962566333333333,6.51,6.545206712241039,54.08097118439187,6.17,6.1813613000146,18.41377636077761,4.871022303611111,4.833333333333333,-0.0522273425499231,-0.0555895983462164
LCID,False,2026-08-14 13:45:35.775398+00:00,,,,,,,,,,,,
LCID,False,2026-08-14 13:45:35.775398+00:00,,,,,,,,,,,,
LCID,False,2026-08-14 13:45:35.775398+00:00,,,,,,,,,,,,
LCID,False,2026-08-14 13:45:35.775398+00:00,,,,,,,,,,,,
LCID,False,2026-08-14 13:45:35.775398+00:00,,,,,,,,,,,,
LCID,False,2026-08-14 13:45:35.775398+00:00,,,,,,,,,,,,
