symbol,entry_time,exit_time,entry_price,exit_price,qty,pnl,pnl_pct,hold_hours,same_day_round_trip,entry_extended_hours,exit_extended_hours,source
SNAP,2026-08-24 14:15:13.210605+00:00,2026-08-26 13:38:52.333694+00:00,5.31,5.65,21.0,7.140000000000016,0.06403013182674214,47.394200858055555,False,True,False,live
SNAP,2026-08-24 14:15:13.766600+00:00,2026-08-26 13:38:52.333694+00:00,5.31,5.65,1183.0,402.2200000000009,0.06403013182674214,47.394046415,False,True,False,live
SNAP,2026-08-24 14:15:13.766600+00:00,2026-08-26 13:38:52.898393+00:00,5.31,5.65,560.0,190.40000000000043,0.06403013182674214,47.394203275833334,False,True,False,live
SNAP,2026-08-24 14:15:14.052719+00:00,2026-08-26 13:38:52.898393+00:00,5.31,5.65,270.0,91.8000000000002,0.06403013182674214,47.39412379833334,False,True,False,live
SNAP,2026-08-24 14:15:14.621837+00:00,2026-08-26 13:38:52.898393+00:00,5.31,5.65,19.0,6.460000000000014,0.06403013182674214,47.393965709999996,False,True,False,live
SNAP,2026-08-24 14:15:15.002611+00:00,2026-08-26 13:38:52.898393+00:00,5.31,5.65,21.0,7.140000000000016,0.06403013182674214,47.39385993944445,False,True,False,live
SNAP,2026-08-24 14:15:15.875070+00:00,2026-08-26 13:38:52.898393+00:00,5.31,5.65,3.0,1.0200000000000022,0.06403013182674214,47.393617589722226,False,True,False,live
SNAP,2026-08-24 14:15:16.124738+00:00,2026-08-26 13:38:52.898393+00:00,5.31,5.65,1.0,0.34000000000000075,0.06403013182674214,47.3935482375,False,True,False,live
SNAP,2026-08-24 14:15:17.062114+00:00,2026-08-26 13:38:52.898393+00:00,5.31,5.65,1.0,0.34000000000000075,0.06403013182674214,47.393287855277784,False,True,False,live
RIOT,2026-08-24 14:06:09.271255+00:00,2026-08-26 13:39:13.122549+00:00,20.14,20.73,147.0,86.72999999999998,0.02929493545183713,47.551069803888886,False,True,False,live
RIOT,2026-08-24 14:06:09.915199+00:00,2026-08-26 13:39:13.695342+00:00,20.14,20.73,97.0,57.22999999999999,0.02929493545183713,47.55105003972223,False,True,False,live
RIOT,2026-08-24 14:06:09.271255+00:00,2026-08-26 13:39:13.695342+00:00,20.14,20.73,286.0,168.73999999999995,0.02929493545183713,47.55122891305555,False,True,False,live
RIOT,2026-08-24 14:06:09.755728+00:00,2026-08-26 13:39:13.695342+00:00,20.14,20.73,787.0,464.32999999999987,0.02929493545183713,47.551094337222224,False,True,False,live
RIOT,2026-08-24 14:06:09.915199+00:00,2026-08-26 13:39:13.961984+00:00,20.14,20.73,679.0,400.6099999999999,0.02929493545183713,47.55112410694445,False,True,False,live
RIOT,2026-08-24 14:06:10.168587+00:00,2026-08-26 13:39:13.961984+00:00,20.14,20.73,298.0,175.81999999999996,0.02929493545183713,47.55105372138889,False,True,False,live
RIOT,2026-08-24 14:06:10.168587+00:00,2026-08-26 13:39:14.821541+00:00,20.14,20.73,77.0,45.42999999999999,0.02929493545183713,47.55129248722222,False,True,False,live
RIOT,2026-08-24 14:06:11.124960+00:00,2026-08-26 13:39:14.821541+00:00,20.14,20.73,1.0,0.5899999999999999,0.02929493545183713,47.551026828055555,False,True,False,live
RIOT,2026-08-24 14:06:11.124960+00:00,2026-08-26 13:39:15.505030+00:00,20.14,20.73,13.0,7.669999999999998,0.02929493545183713,47.55121668611112,False,True,False,live
RIOT,2026-08-24 14:06:22.873826+00:00,2026-08-26 13:39:15.505030+00:00,20.14,20.73,2.0,1.1799999999999997,0.02929493545183713,47.547953112222224,False,True,False,live
RIOT,2026-08-24 14:06:23.516812+00:00,2026-08-26 13:39:15.505030+00:00,20.14,20.73,6.0,3.539999999999999,0.02929493545183713,47.54777450500001,False,True,False,live
